time signal1
2.4004 13.5806
2.4160 13.5806
2.4336 13.5806
2.4492 13.5806
2.4668 13.5806
2.4824 13.5645
2.5000 13.5645
2.5176 13.5645
2.5332 13.5645
2.5508 13.5052
2.5664 13.5052
2.5840 13.2034
2.5996 13.2034
2.6172 13.2034
2.6328 12.9070
2.6504 12.9070
2.6660 12.7345
2.6836 12.7345
2.6992 12.7345
2.7168 12.6214
2.7324 12.6214
2.7500 12.6214
2.7676 12.1848
2.7832 12.1848
2.8164 12.1848
2.8340 11.8453
2.8496 11.8453
2.8672 11.5543
2.8828 11.5543
2.9004 11.5543
2.9160 11.1771
2.9336 11.1771
2.9492 11.1771
2.9668 10.7890
2.9824 10.7890
3.0000 10.7890
3.0176 10.3956
3.0332 10.3956
3.0508 10.0346
3.0664 10.0346
3.0840 10.0346
3.0996 9.5496 
3.1172 9.5496 
3.1328 9.5496 
3.1504 9.1130 
3.1660 9.1130 
3.1836 8.7250 
3.1992 8.7250 
3.2168 8.7250 
3.2324 8.2939 
3.2500 8.2939 
3.2676 8.2939 
3.2832 7.9112 
3.3008 7.9112 
3.3164 7.9112 
3.3340 7.5179 
3.3496 7.5179 
3.3672 7.0975 
3.3828 7.0975 
3.4004 7.0975 
3.4160 6.6933 
3.4336 6.6933 
3.4492 6.6933 
3.4668 6.2945 
3.4824 6.2945 
3.5000 5.9065 
3.5176 5.9065 
3.5332 5.9065 
3.5508 5.5239 
3.5664 5.5239 
3.5840 5.1682 
3.5996 5.1682 
3.6172 5.1682 
3.6328 4.7586 
3.6504 4.7586 
3.6660 4.7586 
3.6836 4.4029 
3.6992 4.4029 
3.7168 4.0634 
3.7324 4.0634 
3.7500 4.0634 
3.7676 3.7670 
3.7832 3.7670 
3.8008 3.7670 
3.8164 3.4760 
3.8340 3.4760 
3.8496 3.4760 
3.8672 3.1850 
3.8828 3.1850 
3.9004 2.8940 
3.9160 2.8940 
3.9336 2.8940 
3.9492 2.6245 
3.9668 2.6245 
4.0000 2.4197 
4.0156 2.4197 
4.0352 2.4197 
4.0508 2.2149 
4.0664 2.2149 
4.0820 2.2149 
4.1016 2.0155 
4.1172 2.0155 
4.1328 2.0155 
4.1484 1.8108 
4.1680 1.8108 
4.1836 1.6706 
4.1992 1.6706 
4.2148 1.6706 
4.2344 1.6706 
4.2500 1.4820 
4.2656 1.4820 
4.2852 1.3634 
4.3008 1.3634 
4.3164 1.3634 
4.3320 1.2287 
4.3516 1.2287 
4.3672 1.2287 
4.3828 1.1317 
4.3984 1.1317 
4.4180 0.9916 
4.4336 0.9916 
4.4492 0.9916 
4.4648 0.8946 
4.4844 0.8946 
4.5000 0.8946 
4.5156 0.8407 
4.5352 0.8407 
4.5508 0.8407 
4.5664 0.7545 
4.5820 0.7545 
4.6016 0.6736 
4.6172 0.6736 
4.6328 0.6736 
4.6484 0.6467 
4.6680 0.6467 
4.6836 0.5497 
4.6992 0.5497 
4.7148 0.5389 
4.7344 0.5389 
4.7500 0.5389 
4.7656 0.4635 
4.7852 0.4635 
4.8008 0.4635 
4.8164 0.4311 
4.8320 0.4311 
4.8516 0.4311 
4.8672 0.4311 
4.8828 0.4311 
4.8984 0.3503 
4.9180 0.3503 
4.9336 0.3503 
4.9492 0.3233 
4.9648 0.3233 
4.9844 0.3233 
5.0000 0.3233 
5.0156 0.3233 
5.0352 0.3233 
5.0508 0.3233 
5.0664 0.3233 
5.0820 0.2479 
5.1016 0.2479 
5.1172 0.2479 
5.1328 0.2156 
5.1680 0.2156 
5.1836 0.2156 
5.1992 0.2156 
5.2148 0.2156 
5.2344 0.2156 
5.2500 0.2156 
5.2656 0.2156 
5.2852 0.2156 
5.3008 0.2156 
5.3164 0.2156 
5.3320 0.2156 
5.3516 0.2156 
5.3672 0.2156 
5.3828 0.2156 
5.3984 0.2156 
5.4180 0.2156 
5.4336 0.2156 
5.4492 0.2156 
5.4648 0.2156 
5.4844 0.2156 
5.5000 0.2156 
5.5156 0.2156 
5.5352 0.2156 
5.5508 0.1671 
5.5664 0.1671 
5.5820 0.1671 
5.6016 0.1078 
5.6172 0.1078 
5.6328 0.1078 
5.6484 0.1078 
5.6680 0.1078 
5.6836 0.1078 
5.6992 0.1078 
5.7148 0.1078 
5.7344 0.1078 
5.7500 0.1078 
5.7656 0.1078 
5.7852 0.1078 
5.8008 0.1078 
5.8164 0.1078 
5.8320 0.1078 
5.8516 0.1078 
5.8672 0.1078 
5.8828 0.1078 
5.8984 0.1078 
5.9180 0.1078 
5.9336 0.1078 
5.9492 0.1078 
5.9648 0.1078 
5.9844 0.1078 
6.0000 0.1078 
6.0156 0.1078 
6.0352 0.1078 
6.0508 0.1078 
6.0664 0.1078 
6.0820 0.1078 
6.1016 0.1078 
6.1172 0.1078 
6.1328 0.1078 
6.1484 0.1078 
6.1680 0.1078 
6.1836 0.1078 
6.1992 0.1078 
6.2148 0.1078 
6.2344 0.1078 
6.2500 0.1078 
6.2656 0.1078 
6.2852 0.1078 
6.3008 0.1078 
6.3164 0.1078 
6.3320 0.1078 
6.3516 0.1078 
6.3828 0.1078 
6.3984 0.1078 
6.4180 0.1078 
6.4336 0.1078 
6.4492 0.1078 
6.4648 0.1078 
6.4844 0.1078 
6.5000 0.1078 
6.5156 0.1078 
6.5352 0.1078 
6.5508 0.1078 
6.5664 0.1078 
6.5820 0.1078 
6.6016 0.1078 
6.6172 0.1078 
6.6328 0.1078 
6.6484 0.1078 
6.6680 0.1078 
6.6836 0.1078 
6.6992 0.1078 
6.7148 0.1078 
6.7344 0.1078 
6.7500 0.1078 
6.7656 0.1078 
6.7852 0.1078 
6.8008 0.1078 
6.8164 0.1078 
6.8320 0.1078 
6.8516 0.1078 
6.8672 0.1078 
6.8828 0.1078 
6.8984 0.1078 
6.9180 0.1078 
6.9336 0.1078 
6.9492 0.1078 
6.9648 0.1078 
6.9844 0.1078 
7.0000 0.1078 
7.0156 0.1078 
7.0352 0.1078 
7.0508 0.1078 
7.0664 0.1078 
7.0820 0.1078 
7.1016 0.1078 
7.1172 0.1078 
7.1328 0.1078 
7.1484 0.1078 
7.1680 0.1078 
7.1836 0.1078 
7.1992 0.1078 
7.2148 0.1078 
7.2344 0.1078 
7.2500 0.1078 
7.2656 0.1078 
7.2852 0.1078 
7.3008 0.1078 
7.3164 0.1078 
7.3320 0.1078 
7.3516 0.1078 
7.3672 0.1078 
7.3828 0.1078 
7.3984 0.1078 
7.4180 0.1078 
7.4336 0.1078 
7.4492 0.1078 
7.4648 0.1078 
7.4844 0.1078 
7.5000 0.1078 
7.5352 0.1078 
7.5508 0.1078 
7.5664 0.1078 
7.5820 0.1078 
7.6016 0.1078 
7.6172 0.1078 
7.6328 0.1078 
7.6484 0.1078 
7.6680 0.1078 
7.6836 0.1078 
7.6992 0.1078 
7.7148 0.1078 
7.7344 0.1078 
7.7500 0.1078 
7.7656 0.1078 
7.7852 0.1078 
7.8008 0.1078 
7.8164 0.1078 
7.8320 0.1078 
7.8516 0.1078 
7.8672 0.1078 
7.8828 0.1078 
7.8984 0.1078 
7.9180 0.1078 
7.9336 0.1078 
7.9492 0.1078 
7.9648 0.1078 
7.9844 0.1078 
8.0000 0.1078 
8.0156 0.1078 
8.0312 0.1078 
8.0469 0.1078 
8.0703 0.1078 
8.0859 0.1078 
8.1016 0.1078 
8.1172 0.1078 
8.1328 0.1078 
8.1484 0.1078 
8.1641 0.1078 
8.1797 0.1078 
8.2031 0.1078 
8.2188 0.1078 
8.2344 0.1078 
8.2500 0.1078 
8.2656 0.1078 
8.2812 0.1078 
8.2969 0.1078 
8.3203 0.1078 
8.3359 0.1078 
8.3516 0.1078 
8.3672 0.1078 
8.3828 0.1078 
8.3984 0.1078 
8.4141 0.1078 
8.4297 0.0000 
8.4531 0.0000 
8.4688 0.0000 
8.4844 0.0000 
8.5000 0.0000 
8.5156 0.0000 
8.5312 0.0000 
8.5469 0.0000 
8.5703 0.0000 
8.5859 0.0000 
8.6016 0.0000 
8.6172 0.0000 
8.6328 0.0000 
8.6484 0.0000 
8.6641 0.0000 
8.6797 0.0000 
8.7031 0.0000 
8.7188 0.0000 
8.7500 0.0000 
8.7656 0.0000 
8.7812 0.0000 
8.7969 0.0000 
8.8203 0.0000 
8.8359 0.0000 
8.8516 0.0000 
8.8672 0.0000 
8.8828 0.0000 
8.8984 0.0000 
8.9141 0.0000 
8.9297 0.0000 
8.9531 0.0000 
8.9688 0.0000 
8.9844 0.0000 
9.0000 0.0000 
9.0156 0.0000 
9.0312 0.0000 
9.0469 0.0000 
9.0703 0.0000 
9.0859 0.0000 
9.1016 0.0000 
9.1172 0.0000 
9.1328 0.0000 
9.1484 0.0000 
9.1641 0.0000 
9.1797 0.0000 
9.2031 0.0000 
9.2188 0.0000 
9.2344 0.0000 
9.2500 0.0000 
9.2656 0.0000 
9.2812 0.0000 
9.2969 0.0000 
9.3203 0.0000 
9.3359 0.0000 
9.3516 0.0000 
9.3672 0.0000 
9.3828 0.0000 
9.3984 0.0000 
9.4141 0.0000 
9.4297 0.0000 
9.4531 0.0000 
9.4688 0.0000 
9.4844 0.0000 
9.5000 0.0000 
9.5156 0.0000 
9.5312 0.0000 
9.5469 0.0000 
9.5703 0.0000 
9.5859 0.0000 
9.6016 0.0000 
9.6172 0.0000 
9.6328 0.0000 
9.6484 0.0000 
9.6641 0.0000 
9.6797 0.0000 
9.7031 0.0000 
9.7188 0.0000 
9.7344 0.0000 
9.7500 0.0000 
9.7656 0.0000 
9.7812 0.0000 
9.7969 0.0000 
9.8203 0.0000 
9.8359 0.0000 
9.8516 0.0000 
9.8672 0.0000 
9.8828 0.0000 
9.9141 0.0000 
9.9297 0.0000 
9.9531 0.0000 
9.9688 0.0000 
9.9844 0.0000 
10.0000 0.0000
10.0156 0.0000
10.0312 0.0000
10.0469 0.0000
10.0703 0.0000
10.0859 0.0000
10.1016 0.0000
10.1172 0.0000
10.1328 0.0000
10.1484 0.0000
10.1641 0.0000
10.1797 0.0000
10.2031 0.0000
10.2188 0.0000
10.2344 0.0000
10.2500 0.0000
10.2656 0.0000
10.2812 0.0000
10.2969 0.0000
10.3203 0.0000
10.3359 0.0000
10.3516 0.0000
10.3672 0.0000
10.3828 0.0000
10.3984 0.0000
10.4141 0.0000
10.4297 0.0000
10.4531 0.0000
10.4688 0.0000
10.4844 0.0000
10.5000 0.0000
10.5156 0.0000
10.5312 0.0000
10.5469 0.0000
10.5703 0.0000
10.5859 0.0000
10.6016 0.0000
10.6172 0.0000
10.6328 0.0000
10.6484 0.0000
10.6641 0.0000
10.6797 0.0000
10.7031 0.0000
10.7188 0.0000
10.7344 0.0000
10.7500 0.0000
10.7656 0.0000
10.7812 0.0000
10.7969 0.0000
10.8203 0.0000
10.8359 0.0000
10.8516 0.0000
10.8672 0.0000
10.8828 0.0000
10.8984 0.0000
10.9141 0.0000
10.9297 0.0000
10.9531 0.0000
10.9688 0.0000
10.9844 0.0000
11.0000 0.0000
11.0156 0.0000
11.0312 0.0000
11.0469 0.0000
11.0703 0.0000
11.0859 0.0000
11.1172 0.0000
11.1328 0.0000
11.1484 0.0000
11.1641 0.0000
11.1797 0.0000
11.2031 0.0000
11.2188 0.0000
11.2344 0.0000
11.2500 0.0000
11.2656 0.0000
11.2812 0.0000
11.2969 0.0000
11.3203 0.0000
11.3359 0.0000
11.3516 0.0000
11.3672 0.0000
11.3828 0.0000
11.3984 0.0000
11.4141 0.0000
11.4297 0.0000
11.4531 0.0000
11.4688 0.0000
11.4844 0.0000
11.5000 0.0000
11.5156 0.0000
11.5312 0.0000
11.5469 0.0000
11.5703 0.0000
11.5859 0.0000
11.6016 0.0000
11.6172 0.0000
11.6328 0.0000
11.6484 0.0000
11.6641 0.0000
11.6797 0.0000
11.7031 0.0000
11.7188 0.0000
11.7344 0.0000
11.7500 0.0000
11.7656 0.0000
11.7812 0.0000
11.7969 0.0000
11.8203 0.0000
11.8359 0.0000
11.8516 0.0000
11.8672 0.0000
11.8828 0.0000
11.8984 0.0000
11.9141 0.0000
11.9297 0.0000
11.9531 0.0000
11.9688 0.0000
11.9844 0.0000
12.0000 0.0000
12.0156 0.0000
12.0312 0.0000
12.0469 0.0000
12.0703 0.0000
12.0859 0.0000
12.1016 0.0000
12.1172 0.0000
12.1328 0.0000
12.1484 0.0000
12.1641 0.0000
12.1797 0.0000
12.2031 0.0000
12.2188 0.0000
12.2344 0.0000
12.2500 0.0000
12.2656 0.0000
12.2812 0.0000
12.3203 0.0000
12.3359 0.0000
12.3516 0.0000
12.3672 0.0000
12.3828 0.0000
12.3984 0.0000
12.4141 0.0000
12.4297 0.0000
12.4531 0.0000
12.4688 0.0000
12.4844 0.0000
12.5000 0.0000
12.5156 0.0000
12.5312 0.0000
12.5469 0.0000
12.5703 0.0000
12.5859 0.0000
12.6016 0.0000
12.6172 0.0000
12.6328 0.0000
12.6484 0.0000
12.6641 0.0000
12.6797 0.0000
12.7031 0.0000
12.7188 0.0000
12.7344 0.0000
12.7500 0.0000
12.7656 0.0000
12.7812 0.0000
12.7969 0.0000
12.8203 0.0000
12.8359 0.0000
12.8516 0.0000
12.8672 0.0000
12.8828 0.0000
12.8984 0.0000
12.9141 0.0000
12.9297 0.0000
12.9531 0.0000
12.9688 0.0000
12.9844 0.0000
13.0000 0.0000
13.0156 0.0000
13.0312 0.0000
13.0469 0.0000
13.0703 0.0000
13.0859 0.0000
13.1016 0.0000
13.1172 0.0000
13.1328 0.0000
13.1484 0.0000
13.1641 0.0000
13.1797 0.0000
13.2031 0.0000
13.2188 0.0000
13.2344 0.0000
13.2500 0.0000
13.2656 0.0000
13.2812 0.0000
13.2969 0.0000
13.3203 0.0000
13.3359 0.0000
13.3516 0.0000
13.3672 0.0000
13.3828 0.0000
13.3984 0.0000
13.4141 0.0000
13.4297 0.0000
13.4531 0.0000
13.4688 0.0000
13.5000 0.0000
13.5156 0.0000
13.5312 0.0000
13.5469 0.0000
13.5703 0.0000
13.5859 0.0000
13.6016 0.0000
13.6172 0.0000
13.6328 0.0000
13.6484 0.0000
13.6641 0.0000
13.6797 0.0000
13.7031 0.0000
13.7188 0.0000
13.7344 0.0000
13.7500 0.0000
13.7656 0.0000
13.7812 0.0000
13.7969 0.0000
13.8203 0.0000
13.8359 0.0000
13.8516 0.0000
13.8672 0.0000
13.8828 0.0000
13.8984 0.0000
13.9141 0.0000
13.9297 0.0000
13.9531 0.0000
13.9688 0.0000
13.9844 0.0000
14.0000 0.0000
14.0156 0.0000
14.0312 0.0000
14.0469 0.0000
14.0703 0.0000
14.0859 0.0000
14.1016 0.0000
14.1172 0.0000
14.1328 0.0000
14.1484 0.0000
14.1641 0.0000
14.1797 0.0000
14.2031 0.0000
14.2188 0.0000
14.2344 0.0000
14.2500 0.0000
14.2656 0.0000
14.2812 0.0000
14.2969 0.0000
14.3203 0.0000
14.3359 0.0000
14.3516 0.0000
14.3672 0.0000
14.3828 0.0000
14.3984 0.0000
14.4141 0.0000
14.4297 0.0000
14.4531 0.0000
14.4688 0.0000
14.4844 0.0000
14.5000 0.0000
14.5156 0.0000
14.5312 0.0000
14.5469 0.0000
14.5703 0.0000
14.5859 0.0000
14.6016 0.0000
14.6172 0.0000
14.6328 0.0000
14.6641 0.0000
14.6797 0.0000
14.7031 0.0000
14.7188 0.0000
14.7344 0.0000
14.7500 0.0000
14.7656 0.0000
14.7812 0.0000
14.7969 0.0000
14.8203 0.0000
14.8359 0.0000
14.8516 0.0000
14.8672 0.0000
14.8828 0.0000
14.8984 0.0000
14.9141 0.0000
14.9297 0.0000
14.9531 0.0000
14.9688 0.0000
14.9844 0.0000
15.0000 0.0000
15.0156 0.0000
15.0312 0.0000
15.0469 0.0000
15.0703 0.0000
15.0859 0.0000
15.1016 0.0000
15.1172 0.0000
15.1328 0.0000
15.1484 0.0000
15.1641 0.0000
15.1797 0.0000
15.2031 0.0000
15.2188 0.0000
15.2344 0.0000
15.2500 0.0000
15.2656 0.0000
